basename	pdb_path	finalscore	n_events	status	error
Cluster_2_muOR_6QZH_0433.pdb	Cluster_2_muOR_6QZH_0433.pdb	12.0	17	ok	
Cluster_3_muOR_6QZH_0433.pdb	Cluster_3_muOR_6QZH_0433.pdb	12.0	17	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0433.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0433.pdb	12.0	17	ok	
Cluster_2_muOR_6QZH_0005.pdb	Cluster_2_muOR_6QZH_0005.pdb	11.0	16	ok	
Cluster_2_muOR_6QZH_0005_2.pdb	Cluster_2_muOR_6QZH_0005_2.pdb	11.0	16	ok	
Cluster_3_muOR_6QZH_0005.pdb	Cluster_3_muOR_6QZH_0005.pdb	11.0	16	ok	
top_muOR_6QZH_0005.pdb	top_muOR_6QZH_0005.pdb	11.0	16	ok	
Cluster_0_muOR_6QZH_0468.pdb	Cluster_0_muOR_6QZH_0468.pdb	10.5	17	ok	
Cluster_1_muOR_6QZH_0468.pdb	Cluster_1_muOR_6QZH_0468.pdb	10.5	17	ok	
Cluster_1_muOR_6QZH_0468_2.pdb	Cluster_1_muOR_6QZH_0468_2.pdb	10.5	17	ok	
Cluster_0_muOR_6QZH_0044.pdb	Cluster_0_muOR_6QZH_0044.pdb	10.0	15	ok	
Cluster_0_muOR_6QZH_0044_2.pdb	Cluster_0_muOR_6QZH_0044_2.pdb	10.0	15	ok	
Cluster_2_muOR_6QZH_0827.pdb	Cluster_2_muOR_6QZH_0827.pdb	10.0	15	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0044.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0044.pdb	10.0	15	ok	
top_muOR_6QZH_0827.pdb	top_muOR_6QZH_0827.pdb	10.0	15	ok	
Cluster_1_muOR_6QZH_0139.pdb	Cluster_1_muOR_6QZH_0139.pdb	9.5	12	ok	
Cluster_1_muOR_6QZH_0561.pdb	Cluster_1_muOR_6QZH_0561.pdb	9.5	15	ok	
Cluster_1_muOR_6QZH_0561_2.pdb	Cluster_1_muOR_6QZH_0561_2.pdb	9.5	15	ok	
Cluster_2_muOR_6QZH_0061.pdb	Cluster_2_muOR_6QZH_0061.pdb	9.5	15	ok	
Cluster_2_muOR_6QZH_0061_2.pdb	Cluster_2_muOR_6QZH_0061_2.pdb	9.5	15	ok	
Cluster_2_muOR_6QZH_0090.pdb	Cluster_2_muOR_6QZH_0090.pdb	9.5	15	ok	
Cluster_2_muOR_6QZH_0090_2.pdb	Cluster_2_muOR_6QZH_0090_2.pdb	9.5	15	ok	
Cluster_2_muOR_6QZH_0139.pdb	Cluster_2_muOR_6QZH_0139.pdb	9.5	12	ok	
Cluster_2_muOR_6QZH_0561.pdb	Cluster_2_muOR_6QZH_0561.pdb	9.5	15	ok	
Cluster_3_muOR_6QZH_0061.pdb	Cluster_3_muOR_6QZH_0061.pdb	9.5	15	ok	
Cluster_3_muOR_6QZH_0090.pdb	Cluster_3_muOR_6QZH_0090.pdb	9.5	15	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0139.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0139.pdb	9.5	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0961.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0961.pdb	9.5	14	ok	
res2_2_muOR_6QZH_0419.pdb	res2_2_muOR_6QZH_0419.pdb	9.5	15	ok	
res2_3_muOR_6QZH_0419.pdb	res2_3_muOR_6QZH_0419.pdb	9.5	15	ok	
res2_muOR_6QZH_0419.pdb	res2_muOR_6QZH_0419.pdb	9.5	15	ok	
top_muOR_6QZH_0090.pdb	top_muOR_6QZH_0090.pdb	9.5	15	ok	
top_muOR_6QZH_0561.pdb	top_muOR_6QZH_0561.pdb	9.5	15	ok	
Cluster_0_muOR_6QZH_0036.pdb	Cluster_0_muOR_6QZH_0036.pdb	9.0	12	ok	
Cluster_0_muOR_6QZH_0036_2.pdb	Cluster_0_muOR_6QZH_0036_2.pdb	9.0	12	ok	
Cluster_0_muOR_6QZH_0431.pdb	Cluster_0_muOR_6QZH_0431.pdb	9.0	15	ok	
Cluster_0_muOR_6QZH_0431_2.pdb	Cluster_0_muOR_6QZH_0431_2.pdb	9.0	15	ok	
Cluster_0_muOR_6QZH_0929.pdb	Cluster_0_muOR_6QZH_0929.pdb	9.0	12	ok	
Cluster_1_muOR_6QZH_0431.pdb	Cluster_1_muOR_6QZH_0431.pdb	9.0	15	ok	
Cluster_1_muOR_6QZH_0819.pdb	Cluster_1_muOR_6QZH_0819.pdb	9.0	15	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0036.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0036.pdb	9.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0288.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0288.pdb	9.0	14	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0855.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0855.pdb	9.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0914.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0914.pdb	9.0	11	ok	
res2_2_muOR_6QZH_0288.pdb	res2_2_muOR_6QZH_0288.pdb	9.0	14	ok	
res2_2_muOR_6QZH_0708.pdb	res2_2_muOR_6QZH_0708.pdb	9.0	11	ok	
res2_3_muOR_6QZH_0708.pdb	res2_3_muOR_6QZH_0708.pdb	9.0	11	ok	
res2_muOR_6QZH_0288.pdb	res2_muOR_6QZH_0288.pdb	9.0	14	ok	
top_muOR_6QZH_0431.pdb	top_muOR_6QZH_0431.pdb	9.0	15	ok	
top_muOR_6QZH_0819.pdb	top_muOR_6QZH_0819.pdb	9.0	15	ok	
6QZH_muOR_6QZH_686_mut.pdb	6QZH_muOR_6QZH_686_mut.pdb	8.5	11	ok	
Cluster_0_muOR_6QZH_0451.pdb	Cluster_0_muOR_6QZH_0451.pdb	8.5	12	ok	
Cluster_0_muOR_6QZH_0574.pdb	Cluster_0_muOR_6QZH_0574.pdb	8.5	11	ok	
Cluster_0_muOR_6QZH_0574_2.pdb	Cluster_0_muOR_6QZH_0574_2.pdb	8.5	11	ok	
Cluster_0_muOR_6QZH_0697.pdb	Cluster_0_muOR_6QZH_0697.pdb	8.5	14	ok	
Cluster_1_muOR_6QZH_0182.pdb	Cluster_1_muOR_6QZH_0182.pdb	8.5	13	ok	
Cluster_1_muOR_6QZH_0182_2.pdb	Cluster_1_muOR_6QZH_0182_2.pdb	8.5	13	ok	
Cluster_1_muOR_6QZH_0182_3.pdb	Cluster_1_muOR_6QZH_0182_3.pdb	8.5	13	ok	
Cluster_1_muOR_6QZH_0319.pdb	Cluster_1_muOR_6QZH_0319.pdb	8.5	12	ok	
Cluster_1_muOR_6QZH_0319_2.pdb	Cluster_1_muOR_6QZH_0319_2.pdb	8.5	12	ok	
Cluster_1_muOR_6QZH_0451.pdb	Cluster_1_muOR_6QZH_0451.pdb	8.5	12	ok	
Cluster_1_muOR_6QZH_0697.pdb	Cluster_1_muOR_6QZH_0697.pdb	8.5	14	ok	
Cluster_1_muOR_6QZH_0729.pdb	Cluster_1_muOR_6QZH_0729.pdb	8.5	13	ok	
Cluster_1_muOR_6QZH_0798.pdb	Cluster_1_muOR_6QZH_0798.pdb	8.5	12	ok	
Cluster_2_muOR_6QZH_0192.pdb	Cluster_2_muOR_6QZH_0192.pdb	8.5	12	ok	
Cluster_2_muOR_6QZH_0451.pdb	Cluster_2_muOR_6QZH_0451.pdb	8.5	12	ok	
Cluster_2_muOR_6QZH_0686.pdb	Cluster_2_muOR_6QZH_0686.pdb	8.5	11	ok	
Cluster_2_muOR_6QZH_0736.pdb	Cluster_2_muOR_6QZH_0736.pdb	8.5	15	ok	
Cluster_3_muOR_6QZH_0192.pdb	Cluster_3_muOR_6QZH_0192.pdb	8.5	12	ok	
Cluster_3_muOR_6QZH_0625.pdb	Cluster_3_muOR_6QZH_0625.pdb	8.5	12	ok	
Cluster_3_muOR_6QZH_0686.pdb	Cluster_3_muOR_6QZH_0686.pdb	8.5	11	ok	
Cluster_7_muOR_6QZH_0319.pdb	Cluster_7_muOR_6QZH_0319.pdb	8.5	12	ok	
Cluster_7_muOR_6QZH_0729.pdb	Cluster_7_muOR_6QZH_0729.pdb	8.5	13	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0192.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0192.pdb	8.5	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0574.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0574.pdb	8.5	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0625.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0625.pdb	8.5	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0736.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0736.pdb	8.5	15	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0908.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0908.pdb	8.5	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0943.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0943.pdb	8.5	11	ok	
res2_2_muOR_6QZH_0671.pdb	res2_2_muOR_6QZH_0671.pdb	8.5	11	ok	
res2_3_muOR_6QZH_0671.pdb	res2_3_muOR_6QZH_0671.pdb	8.5	11	ok	
top_muOR_6QZH_0182.pdb	top_muOR_6QZH_0182.pdb	8.5	13	ok	
top_muOR_6QZH_0319.pdb	top_muOR_6QZH_0319.pdb	8.5	12	ok	
top_muOR_6QZH_0686.pdb	top_muOR_6QZH_0686.pdb	8.5	11	ok	
top_muOR_6QZH_0798.pdb	top_muOR_6QZH_0798.pdb	8.5	12	ok	
Cluster_0_muOR_6QZH_0050.pdb	Cluster_0_muOR_6QZH_0050.pdb	8.0	11	ok	
Cluster_0_muOR_6QZH_0050_2.pdb	Cluster_0_muOR_6QZH_0050_2.pdb	8.0	11	ok	
Cluster_0_muOR_6QZH_0133.pdb	Cluster_0_muOR_6QZH_0133.pdb	8.0	12	ok	
Cluster_0_muOR_6QZH_0304.pdb	Cluster_0_muOR_6QZH_0304.pdb	8.0	13	ok	
Cluster_0_muOR_6QZH_0316.pdb	Cluster_0_muOR_6QZH_0316.pdb	8.0	12	ok	
Cluster_0_muOR_6QZH_0534.pdb	Cluster_0_muOR_6QZH_0534.pdb	8.0	12	ok	
Cluster_0_muOR_6QZH_0534_2.pdb	Cluster_0_muOR_6QZH_0534_2.pdb	8.0	12	ok	
Cluster_0_muOR_6QZH_0608.pdb	Cluster_0_muOR_6QZH_0608.pdb	8.0	11	ok	
Cluster_0_muOR_6QZH_0608_2.pdb	Cluster_0_muOR_6QZH_0608_2.pdb	8.0	11	ok	
Cluster_0_muOR_6QZH_0627.pdb	Cluster_0_muOR_6QZH_0627.pdb	8.0	10	ok	
Cluster_0_muOR_6QZH_0713.pdb	Cluster_0_muOR_6QZH_0713.pdb	8.0	11	ok	
Cluster_0_muOR_6QZH_0713_2.pdb	Cluster_0_muOR_6QZH_0713_2.pdb	8.0	11	ok	
