basename	pdb_path	dG_separated	sc_value	Holes	pack_stat	dSASA_int	delta_unsatHbonds	packing_finalscore	packing_n_events	packing_status	packing_error	rosetta_parse_note
Cluster_2_muOR_6QZH_0433.pdb	Cluster_2_muOR_6QZH_0433.pdb	-77.1567	0.679903	0.914734	0.451035	2416.78	0	12.0	17	ok		
Cluster_3_muOR_6QZH_0433.pdb	Cluster_3_muOR_6QZH_0433.pdb	-77.1567	0.679903	0.914734	0.451035	2416.78	0	12.0	17	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0433.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0433.pdb	-77.1567	0.679903	0.914734	0.451035	2416.78	0	12.0	17	ok		
Cluster_2_muOR_6QZH_0005.pdb	Cluster_2_muOR_6QZH_0005.pdb	-67.0293	0.688729	0.954853	0.46504	2376.75	3	11.0	16	ok		
Cluster_2_muOR_6QZH_0005_2.pdb	Cluster_2_muOR_6QZH_0005_2.pdb	-67.0293	0.688729	0.954853	0.46504	2376.75	3	11.0	16	ok		
Cluster_3_muOR_6QZH_0005.pdb	Cluster_3_muOR_6QZH_0005.pdb	-67.0293	0.688729	0.954853	0.46504	2376.75	3	11.0	16	ok		
top_muOR_6QZH_0005.pdb	top_muOR_6QZH_0005.pdb	-67.0293	0.688729	0.954853	0.46504	2376.75	3	11.0	16	ok		
Cluster_0_muOR_6QZH_0468.pdb	Cluster_0_muOR_6QZH_0468.pdb	-64.4707	0.675416	0.816112	0.586345	2409.11	3	10.5	17	ok		
Cluster_1_muOR_6QZH_0468.pdb	Cluster_1_muOR_6QZH_0468.pdb	-64.4707	0.675416	0.816112	0.586345	2409.11	3	10.5	17	ok		
Cluster_1_muOR_6QZH_0468_2.pdb	Cluster_1_muOR_6QZH_0468_2.pdb	-64.4707	0.675416	0.816112	0.586345	2409.11	3	10.5	17	ok		
Cluster_0_muOR_6QZH_0044.pdb	Cluster_0_muOR_6QZH_0044.pdb	-64.8114	0.663713	0.9584	0.492775	2444.91	6	10.0	15	ok		
Cluster_0_muOR_6QZH_0044_2.pdb	Cluster_0_muOR_6QZH_0044_2.pdb	-64.8114	0.663713	0.9584	0.492775	2444.91	6	10.0	15	ok		
Cluster_2_muOR_6QZH_0827.pdb	Cluster_2_muOR_6QZH_0827.pdb	-67.2969	0.692126	0.898274	0.513361	2396.83	5	10.0	15	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0044.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0044.pdb	-64.8114	0.663713	0.9584	0.492775	2444.91	6	10.0	15	ok		
top_muOR_6QZH_0827.pdb	top_muOR_6QZH_0827.pdb	-67.2969	0.692126	0.898274	0.513361	2396.83	5	10.0	15	ok		
Cluster_1_muOR_6QZH_0139.pdb	Cluster_1_muOR_6QZH_0139.pdb	-61.7779	0.644408	1.01086	0.481429	2416.78	2	9.5	12	ok		
Cluster_1_muOR_6QZH_0561.pdb	Cluster_1_muOR_6QZH_0561.pdb	-72.2068	0.686087	0.998458	0.440992	2353.22	1	9.5	15	ok		
Cluster_1_muOR_6QZH_0561_2.pdb	Cluster_1_muOR_6QZH_0561_2.pdb	-72.2068	0.686087	0.998458	0.440992	2353.22	1	9.5	15	ok		
Cluster_2_muOR_6QZH_0061.pdb	Cluster_2_muOR_6QZH_0061.pdb	-67.1377	0.686614	0.93182	0.4351	2351.21	3	9.5	15	ok		
Cluster_2_muOR_6QZH_0061_2.pdb	Cluster_2_muOR_6QZH_0061_2.pdb	-67.1377	0.686614	0.93182	0.4351	2351.21	3	9.5	15	ok		
Cluster_2_muOR_6QZH_0090.pdb	Cluster_2_muOR_6QZH_0090.pdb	-65.3522	0.696955	0.768984	0.479464	2457.86	4	9.5	15	ok		
Cluster_2_muOR_6QZH_0090_2.pdb	Cluster_2_muOR_6QZH_0090_2.pdb	-65.3522	0.696955	0.768984	0.479464	2457.86	4	9.5	15	ok		
Cluster_2_muOR_6QZH_0139.pdb	Cluster_2_muOR_6QZH_0139.pdb	-61.7779	0.644408	1.01086	0.481429	2416.78	2	9.5	12	ok		
Cluster_2_muOR_6QZH_0561.pdb	Cluster_2_muOR_6QZH_0561.pdb	-72.2068	0.686087	0.998458	0.440992	2353.22	1	9.5	15	ok		
Cluster_3_muOR_6QZH_0061.pdb	Cluster_3_muOR_6QZH_0061.pdb	-67.1377	0.686614	0.93182	0.4351	2351.21	3	9.5	15	ok		
Cluster_3_muOR_6QZH_0090.pdb	Cluster_3_muOR_6QZH_0090.pdb	-65.3522	0.696955	0.768984	0.479464	2457.86	4	9.5	15	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0139.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0139.pdb	-61.7779	0.644408	1.01086	0.481429	2416.78	2	9.5	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0961.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0961.pdb	-65.0242	0.565946	1.02064	0.485377	2394.43	2	9.5	14	ok		
res2_2_muOR_6QZH_0419.pdb	res2_2_muOR_6QZH_0419.pdb	-67.0946	0.686614	0.93182	0.492323	2351.21	3	9.5	15	ok		
res2_3_muOR_6QZH_0419.pdb	res2_3_muOR_6QZH_0419.pdb	-67.0946	0.686614	0.93182	0.492323	2351.21	3	9.5	15	ok		
res2_muOR_6QZH_0419.pdb	res2_muOR_6QZH_0419.pdb	-67.0946	0.686614	0.93182	0.492323	2351.21	3	9.5	15	ok		
top_muOR_6QZH_0090.pdb	top_muOR_6QZH_0090.pdb	-65.3522	0.696955	0.768984	0.479464	2457.86	4	9.5	15	ok		
top_muOR_6QZH_0561.pdb	top_muOR_6QZH_0561.pdb	-72.2068	0.686087	0.998458	0.440992	2353.22	1	9.5	15	ok		
Cluster_0_muOR_6QZH_0036.pdb	Cluster_0_muOR_6QZH_0036.pdb	-59.7737	0.578696	0.887454	0.479177	2422.88	2	9.0	12	ok		
Cluster_0_muOR_6QZH_0036_2.pdb	Cluster_0_muOR_6QZH_0036_2.pdb	-59.7737	0.578696	0.887454	0.479177	2422.88	2	9.0	12	ok		
Cluster_0_muOR_6QZH_0431.pdb	Cluster_0_muOR_6QZH_0431.pdb	-64.9807	0.66347	1.0741	0.493969	2324.35	1	9.0	15	ok		
Cluster_0_muOR_6QZH_0431_2.pdb	Cluster_0_muOR_6QZH_0431_2.pdb	-64.9807	0.66347	1.0741	0.493969	2324.35	1	9.0	15	ok		
Cluster_0_muOR_6QZH_0929.pdb	Cluster_0_muOR_6QZH_0929.pdb	-66.8237	0.646107	1.0013	0.42712	2308.96	3	9.0	12	ok		
Cluster_1_muOR_6QZH_0431.pdb	Cluster_1_muOR_6QZH_0431.pdb	-64.9807	0.66347	1.0741	0.493969	2324.35	1	9.0	15	ok		
Cluster_1_muOR_6QZH_0819.pdb	Cluster_1_muOR_6QZH_0819.pdb	-72.6841	0.692837	0.728149	0.533132	2365.8	3	9.0	15	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0036.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0036.pdb	-59.7737	0.578696	0.887454	0.479177	2422.88	2	9.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0288.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0288.pdb	-66.2952	0.675704	0.917048	0.540966	2336.02	4	9.0	14	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0855.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0855.pdb	-61.5974	0.57106	1.10963	0.458914	2317.92	2	9.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0914.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0914.pdb	-63.4642	0.696298	0.867113	0.394797	2412.64	2	9.0	11	ok		
res2_2_muOR_6QZH_0288.pdb	res2_2_muOR_6QZH_0288.pdb	-66.2952	0.675704	0.917048	0.540966	2336.02	4	9.0	14	ok		
res2_2_muOR_6QZH_0708.pdb	res2_2_muOR_6QZH_0708.pdb	-58.045	0.588324	1.0428	0.539577	2356.57	2	9.0	11	ok		
res2_3_muOR_6QZH_0708.pdb	res2_3_muOR_6QZH_0708.pdb	-58.045	0.588324	1.0428	0.539577	2356.57	2	9.0	11	ok		
res2_muOR_6QZH_0288.pdb	res2_muOR_6QZH_0288.pdb	-66.2952	0.675704	0.917048	0.540966	2336.02	4	9.0	14	ok		
top_muOR_6QZH_0431.pdb	top_muOR_6QZH_0431.pdb	-64.9807	0.66347	1.0741	0.493969	2324.35	1	9.0	15	ok		
top_muOR_6QZH_0819.pdb	top_muOR_6QZH_0819.pdb	-72.6841	0.692837	0.728149	0.533132	2365.8	3	9.0	15	ok		
6QZH_muOR_6QZH_686_mut.pdb	6QZH_muOR_6QZH_686_mut.pdb							8.5	11	ok		no_rosetta_score_lines
Cluster_0_muOR_6QZH_0451.pdb	Cluster_0_muOR_6QZH_0451.pdb	-65.5921	0.650585	1.03455	0.437614	2425.83	4	8.5	12	ok		
Cluster_0_muOR_6QZH_0574.pdb	Cluster_0_muOR_6QZH_0574.pdb	-58.0747	0.583131	0.955695	0.451027	2399.61	5	8.5	11	ok		
Cluster_0_muOR_6QZH_0574_2.pdb	Cluster_0_muOR_6QZH_0574_2.pdb	-58.0747	0.583131	0.955695	0.451027	2399.61	5	8.5	11	ok		
Cluster_0_muOR_6QZH_0697.pdb	Cluster_0_muOR_6QZH_0697.pdb	-63.6337	0.673375	1.01172	0.42054	2272.01	4	8.5	14	ok		
Cluster_1_muOR_6QZH_0182.pdb	Cluster_1_muOR_6QZH_0182.pdb	-66.1926	0.666386	0.851952	0.463106	2382.02	2	8.5	13	ok		
Cluster_1_muOR_6QZH_0182_2.pdb	Cluster_1_muOR_6QZH_0182_2.pdb	-66.1926	0.666386	0.851952	0.463106	2382.02	2	8.5	13	ok		
Cluster_1_muOR_6QZH_0182_3.pdb	Cluster_1_muOR_6QZH_0182_3.pdb	-66.1926	0.666386	0.851952	0.463106	2382.02	2	8.5	13	ok		
Cluster_1_muOR_6QZH_0319.pdb	Cluster_1_muOR_6QZH_0319.pdb	-68.3938	0.631973	0.918218	0.476207	2316.53	3	8.5	12	ok		
Cluster_1_muOR_6QZH_0319_2.pdb	Cluster_1_muOR_6QZH_0319_2.pdb	-68.3938	0.631973	0.918218	0.476207	2316.53	3	8.5	12	ok		
