pdb_path	finalscore	n_events	error
6QZH_muOR_6QZH.pdb			empty_TM5_TM6_or_TMB
6QZH_muOR_6QZH_424_mut.pdb	5.0	7	
6QZH_muOR_6QZH_501_mut.pdb	7.0	8	
6QZH_muOR_6QZH_644_mut.pdb	5.0	7	
6QZH_muOR_6QZH_714_mut.pdb	6.5	10	
6QZH_muOR_6QZH_798_mut.pdb	7.0	10	
6QZH_muOR_6QZH_888_mut.pdb	7.0	10	
6QZH_muOR_6QZH_686_mut.pdb	8.5	11	
6QZH_muOR_6QZH_930_mut.pdb	6.0	7	
Cluster_0_muOR_6QZH_0003.pdb	4.0	5	
Cluster_0_muOR_6QZH_0003_2.pdb	4.0	5	
Cluster_0_muOR_6QZH_0007.pdb	5.5	8	
Cluster_0_muOR_6QZH_0007_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0009.pdb	4.5	5	
Cluster_0_muOR_6QZH_0009_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0010_2.pdb	6.5	7	
Cluster_0_muOR_6QZH_0010.pdb	6.5	7	
Cluster_0_muOR_6QZH_0011.pdb	6.0	7	
Cluster_0_muOR_6QZH_0011_2.pdb	6.0	7	
Cluster_0_muOR_6QZH_0017.pdb	5.5	7	
Cluster_0_muOR_6QZH_0013.pdb	4.5	5	
Cluster_0_muOR_6QZH_0013_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0015.pdb	7.0	10	
Cluster_0_muOR_6QZH_0017_2.pdb	5.5	7	
Cluster_0_muOR_6QZH_0019.pdb	7.0	10	
Cluster_0_muOR_6QZH_0019_2.pdb	7.0	10	
Cluster_0_muOR_6QZH_0022.pdb	7.5	9	
Cluster_0_muOR_6QZH_0022_2.pdb	7.5	9	
Cluster_0_muOR_6QZH_0022_3.pdb	7.5	9	
Cluster_0_muOR_6QZH_0024.pdb	6.0	9	
Cluster_0_muOR_6QZH_0024_2.pdb	6.0	9	
Cluster_0_muOR_6QZH_0027.pdb	2.0	2	
Cluster_0_muOR_6QZH_0027_2.pdb	2.0	2	
Cluster_0_muOR_6QZH_0036.pdb	9.0	12	
Cluster_0_muOR_6QZH_0042_2.pdb	6.0	9	
Cluster_0_muOR_6QZH_0036_2.pdb	9.0	12	
Cluster_0_muOR_6QZH_0038.pdb	5.5	7	
Cluster_0_muOR_6QZH_0042.pdb	6.0	9	
Cluster_0_muOR_6QZH_0041.pdb	7.5	11	
Cluster_0_muOR_6QZH_0041_2.pdb	7.5	11	
Cluster_0_muOR_6QZH_0044.pdb	10.0	15	
Cluster_0_muOR_6QZH_0045.pdb	6.0	8	
Cluster_0_muOR_6QZH_0045_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0044_2.pdb	10.0	15	
Cluster_0_muOR_6QZH_0049.pdb	7.0	9	
Cluster_0_muOR_6QZH_0049_2.pdb	7.0	9	
Cluster_0_muOR_6QZH_0050.pdb	8.0	11	
Cluster_0_muOR_6QZH_0049_3.pdb	7.0	9	
Cluster_0_muOR_6QZH_0050_2.pdb	8.0	11	
Cluster_0_muOR_6QZH_0051_2.pdb	5.5	7	
Cluster_0_muOR_6QZH_0051.pdb	5.5	7	
Cluster_0_muOR_6QZH_0052.pdb	7.5	11	
Cluster_0_muOR_6QZH_0052_2.pdb	7.5	11	
Cluster_0_muOR_6QZH_0058.pdb	4.5	6	
Cluster_0_muOR_6QZH_0059.pdb	6.0	9	
Cluster_0_muOR_6QZH_0058_2.pdb	4.5	6	
